Geographic Area,Country,3M,6M,1Y,2Y
EU,Austria,36,48,58,61
EU,Belgium,37,48,55,61
EU,Bulgaria,54,56,72,78
EU,Croatia,46,59,68,74
EU,Cyprus,72,89,104,110
EU,Czech Republic,71,87,103,109
EU,Denmark,22,33,46,57
EU,Finland,38,49,56,62
EU,France,17,26,39,40
EU,Germany,12,23,30,32
EU,Greece,72,89,104,110
EU,Hungary,13,22,39,40
EU,Ireland,23,37,44,51
EU,Italy,55,66,78,82
EU,Latvia,50,64,73,80
EU,Lithuania,47,60,69,76
EU,Luxembourg,17,29,35,39
EU,Malta,38,53,57,62
EU,Netherlands,14,25,31,35
EU,Poland,58,68,80,86
EU,Portugal,62,74,87,100
EU,Romania,35,43,58,67
EU,Slovakia,49,63,72,79
EU,Slovenia,16,27,34,37
EU,Spain,52,63,71,78
EU,Sweden,13,22,31,41
EA (weighted averages),EA (weighted averages),29,39,49,52
EU (weighted averages),EU (weighted averages),30,41,50,55
Advanced economies,United Kingdom,14,25,36,43
Advanced economies,Switzerland,30,31,33,35
Advanced economies,Norway,14,26,34,45
Advanced economies,United States,16,23,31,40
Advanced economies,Japan,35,35,45,45
Emerging markets,Emerging markets,95,117,136,214
